StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
fanoutleaf06,Ethernet0,upscalelab2-spine6,Ethernet0,100000,100,Access,on
fanoutleaf06,Ethernet1,upscalelab2-spine6,Ethernet1,100000,101,Access,on
fanoutleaf06,Ethernet2,upscalelab2-spine6,Ethernet2,100000,102,Access,on
fanoutleaf06,Ethernet3,upscalelab2-spine6,Ethernet3,100000,103,Access,on
fanoutleaf06,Ethernet4,upscalelab2-spine6,Ethernet4,100000,104,Access,on
fanoutleaf06,Ethernet5,upscalelab2-spine6,Ethernet5,100000,105,Access,on
fanoutleaf06,Ethernet6,upscalelab2-spine6,Ethernet6,100000,106,Access,on
fanoutleaf06,Ethernet7,upscalelab2-spine6,Ethernet7,100000,107,Access,on
fanoutleaf06,Ethernet16,upscalelab2-spine6,Ethernet16,100000,108,Access,on
fanoutleaf06,Ethernet17,upscalelab2-spine6,Ethernet17,100000,109,Access,on
fanoutleaf06,Ethernet18,upscalelab2-spine6,Ethernet18,100000,110,Access,on
fanoutleaf06,Ethernet19,upscalelab2-spine6,Ethernet19,100000,111,Access,on
fanoutleaf06,Ethernet20,upscalelab2-spine6,Ethernet20,100000,112,Access,on
fanoutleaf06,Ethernet21,upscalelab2-spine6,Ethernet21,100000,113,Access,on
fanoutleaf06,Ethernet22,upscalelab2-spine6,Ethernet22,100000,114,Access,on
fanoutleaf06,Ethernet23,upscalelab2-spine6,Ethernet23,100000,115,Access,on
fanoutleaf06,Ethernet32,upscalelab2-spine6,Ethernet32,100000,116,Access,on
fanoutleaf06,Ethernet33,upscalelab2-spine6,Ethernet33,100000,117,Access,on
fanoutleaf06,Ethernet34,upscalelab2-spine6,Ethernet34,100000,118,Access,on
fanoutleaf06,Ethernet35,upscalelab2-spine6,Ethernet35,100000,119,Access,on
fanoutleaf06,Ethernet36,upscalelab2-spine6,Ethernet36,100000,120,Access,on
fanoutleaf06,Ethernet37,upscalelab2-spine6,Ethernet37,100000,121,Access,on
fanoutleaf06,Ethernet38,upscalelab2-spine6,Ethernet38,100000,122,Access,on
fanoutleaf06,Ethernet39,upscalelab2-spine6,Ethernet39,100000,123,Access,on
fanoutleaf06,Ethernet48,upscalelab2-spine6,Ethernet48,100000,124,Access,on
fanoutleaf06,Ethernet49,upscalelab2-spine6,Ethernet49,100000,125,Access,on
fanoutleaf06,Ethernet50,upscalelab2-spine6,Ethernet50,100000,126,Access,on
fanoutleaf06,Ethernet51,upscalelab2-spine6,Ethernet51,100000,127,Access,on
fanoutleaf06,Ethernet52,upscalelab2-spine6,Ethernet52,100000,128,Access,on
fanoutleaf06,Ethernet53,upscalelab2-spine6,Ethernet53,100000,129,Access,on
fanoutleaf06,Ethernet54,upscalelab2-spine6,Ethernet54,100000,130,Access,on
fanoutleaf06,Ethernet55,upscalelab2-spine6,Ethernet55,100000,131,Access,on
fanoutleaf06,Ethernet512,str-acs-serv-06,ens25f1,25000,100-131,Trunk,on
fanoutleaf07,Ethernet0,upscalelab2-spine7,Ethernet0,100000,100,Access,on
fanoutleaf07,Ethernet1,upscalelab2-spine7,Ethernet1,100000,101,Access,on
fanoutleaf07,Ethernet2,upscalelab2-spine7,Ethernet2,100000,102,Access,on
fanoutleaf07,Ethernet3,upscalelab2-spine7,Ethernet3,100000,103,Access,on
fanoutleaf07,Ethernet4,upscalelab2-spine7,Ethernet4,100000,104,Access,on
fanoutleaf07,Ethernet5,upscalelab2-spine7,Ethernet5,100000,105,Access,on
fanoutleaf07,Ethernet6,upscalelab2-spine7,Ethernet6,100000,106,Access,on
fanoutleaf07,Ethernet7,upscalelab2-spine7,Ethernet7,100000,107,Access,on
fanoutleaf07,Ethernet16,upscalelab2-spine7,Ethernet16,100000,108,Access,on
fanoutleaf07,Ethernet17,upscalelab2-spine7,Ethernet17,100000,109,Access,on
fanoutleaf07,Ethernet18,upscalelab2-spine7,Ethernet18,100000,110,Access,on
fanoutleaf07,Ethernet19,upscalelab2-spine7,Ethernet19,100000,111,Access,on
fanoutleaf07,Ethernet20,upscalelab2-spine7,Ethernet20,100000,112,Access,on
fanoutleaf07,Ethernet21,upscalelab2-spine7,Ethernet21,100000,113,Access,on
fanoutleaf07,Ethernet22,upscalelab2-spine7,Ethernet22,100000,114,Access,on
fanoutleaf07,Ethernet23,upscalelab2-spine7,Ethernet23,100000,115,Access,on
fanoutleaf07,Ethernet32,upscalelab2-spine7,Ethernet32,100000,116,Access,on
fanoutleaf07,Ethernet33,upscalelab2-spine7,Ethernet33,100000,117,Access,on
fanoutleaf07,Ethernet34,upscalelab2-spine7,Ethernet34,100000,118,Access,on
fanoutleaf07,Ethernet35,upscalelab2-spine7,Ethernet35,100000,119,Access,on
fanoutleaf07,Ethernet36,upscalelab2-spine7,Ethernet36,100000,120,Access,on
fanoutleaf07,Ethernet37,upscalelab2-spine7,Ethernet37,100000,121,Access,on
fanoutleaf07,Ethernet38,upscalelab2-spine7,Ethernet38,100000,122,Access,on
fanoutleaf07,Ethernet39,upscalelab2-spine7,Ethernet39,100000,123,Access,on
fanoutleaf07,Ethernet48,upscalelab2-spine7,Ethernet48,100000,124,Access,on
fanoutleaf07,Ethernet49,upscalelab2-spine7,Ethernet49,100000,125,Access,on
fanoutleaf07,Ethernet50,upscalelab2-spine7,Ethernet50,100000,126,Access,on
fanoutleaf07,Ethernet51,upscalelab2-spine7,Ethernet51,100000,127,Access,on
fanoutleaf07,Ethernet52,upscalelab2-spine7,Ethernet52,100000,128,Access,on
fanoutleaf07,Ethernet53,upscalelab2-spine7,Ethernet53,100000,129,Access,on
fanoutleaf07,Ethernet54,upscalelab2-spine7,Ethernet54,100000,130,Access,on
fanoutleaf07,Ethernet55,upscalelab2-spine7,Ethernet55,100000,131,Access,on
fanoutleaf07,Ethernet512,str-acs-serv-07,ens25f1np1,25000,100-131,Trunk,on
fanoutleaf08,Ethernet0,upscalelab2-spine8,Ethernet0,100000,100,Access,on
fanoutleaf08,Ethernet1,upscalelab2-spine8,Ethernet1,100000,101,Access,on
fanoutleaf08,Ethernet2,upscalelab2-spine8,Ethernet2,100000,102,Access,on
fanoutleaf08,Ethernet3,upscalelab2-spine8,Ethernet3,100000,103,Access,on
fanoutleaf08,Ethernet4,upscalelab2-spine8,Ethernet4,100000,104,Access,on
fanoutleaf08,Ethernet5,upscalelab2-spine8,Ethernet5,100000,105,Access,on
fanoutleaf08,Ethernet6,upscalelab2-spine8,Ethernet6,100000,106,Access,on
fanoutleaf08,Ethernet7,upscalelab2-spine8,Ethernet7,100000,107,Access,on
fanoutleaf08,Ethernet16,upscalelab2-spine8,Ethernet16,100000,108,Access,on
fanoutleaf08,Ethernet17,upscalelab2-spine8,Ethernet17,100000,109,Access,on
fanoutleaf08,Ethernet18,upscalelab2-spine8,Ethernet18,100000,110,Access,on
fanoutleaf08,Ethernet19,upscalelab2-spine8,Ethernet19,100000,111,Access,on
fanoutleaf08,Ethernet20,upscalelab2-spine8,Ethernet20,100000,112,Access,on
fanoutleaf08,Ethernet21,upscalelab2-spine8,Ethernet21,100000,113,Access,on
fanoutleaf08,Ethernet22,upscalelab2-spine8,Ethernet22,100000,114,Access,on
fanoutleaf08,Ethernet23,upscalelab2-spine8,Ethernet23,100000,115,Access,on
fanoutleaf08,Ethernet32,upscalelab2-spine8,Ethernet32,100000,116,Access,on
fanoutleaf08,Ethernet33,upscalelab2-spine8,Ethernet33,100000,117,Access,on
fanoutleaf08,Ethernet34,upscalelab2-spine8,Ethernet34,100000,118,Access,on
fanoutleaf08,Ethernet35,upscalelab2-spine8,Ethernet35,100000,119,Access,on
fanoutleaf08,Ethernet36,upscalelab2-spine8,Ethernet36,100000,120,Access,on
fanoutleaf08,Ethernet37,upscalelab2-spine8,Ethernet37,100000,121,Access,on
fanoutleaf08,Ethernet38,upscalelab2-spine8,Ethernet38,100000,122,Access,on
fanoutleaf08,Ethernet39,upscalelab2-spine8,Ethernet39,100000,123,Access,on
fanoutleaf08,Ethernet48,upscalelab2-spine8,Ethernet48,100000,124,Access,on
fanoutleaf08,Ethernet49,upscalelab2-spine8,Ethernet49,100000,125,Access,on
fanoutleaf08,Ethernet50,upscalelab2-spine8,Ethernet50,100000,126,Access,on
fanoutleaf08,Ethernet51,upscalelab2-spine8,Ethernet51,100000,127,Access,on
fanoutleaf08,Ethernet52,upscalelab2-spine8,Ethernet52,100000,128,Access,on
fanoutleaf08,Ethernet53,upscalelab2-spine8,Ethernet53,100000,129,Access,on
fanoutleaf08,Ethernet54,upscalelab2-spine8,Ethernet54,100000,130,Access,on
fanoutleaf08,Ethernet55,upscalelab2-spine8,Ethernet55,100000,131,Access,on
fanoutleaf08,Ethernet512,str-acs-serv-08,ens25f1,25000,100-131,Trunk,on
fanoutleaf09,Ethernet0,upscalelab2-spine9,Ethernet0,100000,100,Access,on
fanoutleaf09,Ethernet1,upscalelab2-spine9,Ethernet1,100000,101,Access,on
fanoutleaf09,Ethernet2,upscalelab2-spine9,Ethernet2,100000,102,Access,on
fanoutleaf09,Ethernet3,upscalelab2-spine9,Ethernet3,100000,103,Access,on
fanoutleaf09,Ethernet4,upscalelab2-spine9,Ethernet4,100000,104,Access,on
fanoutleaf09,Ethernet5,upscalelab2-spine9,Ethernet5,100000,105,Access,on
fanoutleaf09,Ethernet6,upscalelab2-spine9,Ethernet6,100000,106,Access,on
fanoutleaf09,Ethernet7,upscalelab2-spine9,Ethernet7,100000,107,Access,on
fanoutleaf09,Ethernet16,upscalelab2-spine9,Ethernet16,100000,108,Access,on
fanoutleaf09,Ethernet17,upscalelab2-spine9,Ethernet17,100000,109,Access,on
fanoutleaf09,Ethernet18,upscalelab2-spine9,Ethernet18,100000,110,Access,on
fanoutleaf09,Ethernet19,upscalelab2-spine9,Ethernet19,100000,111,Access,on
fanoutleaf09,Ethernet20,upscalelab2-spine9,Ethernet20,100000,112,Access,on
fanoutleaf09,Ethernet21,upscalelab2-spine9,Ethernet21,100000,113,Access,on
fanoutleaf09,Ethernet22,upscalelab2-spine9,Ethernet22,100000,114,Access,on
fanoutleaf09,Ethernet23,upscalelab2-spine9,Ethernet23,100000,115,Access,on
fanoutleaf09,Ethernet32,upscalelab2-spine9,Ethernet32,100000,116,Access,on
fanoutleaf09,Ethernet33,upscalelab2-spine9,Ethernet33,100000,117,Access,on
fanoutleaf09,Ethernet34,upscalelab2-spine9,Ethernet34,100000,118,Access,on
fanoutleaf09,Ethernet35,upscalelab2-spine9,Ethernet35,100000,119,Access,on
fanoutleaf09,Ethernet36,upscalelab2-spine9,Ethernet36,100000,120,Access,on
fanoutleaf09,Ethernet37,upscalelab2-spine9,Ethernet37,100000,121,Access,on
fanoutleaf09,Ethernet38,upscalelab2-spine9,Ethernet38,100000,122,Access,on
fanoutleaf09,Ethernet39,upscalelab2-spine9,Ethernet39,100000,123,Access,on
fanoutleaf09,Ethernet48,upscalelab2-spine9,Ethernet48,100000,124,Access,on
fanoutleaf09,Ethernet49,upscalelab2-spine9,Ethernet49,100000,125,Access,on
fanoutleaf09,Ethernet50,upscalelab2-spine9,Ethernet50,100000,126,Access,on
fanoutleaf09,Ethernet51,upscalelab2-spine9,Ethernet51,100000,127,Access,on
fanoutleaf09,Ethernet52,upscalelab2-spine9,Ethernet52,100000,128,Access,on
fanoutleaf09,Ethernet53,upscalelab2-spine9,Ethernet53,100000,129,Access,on
fanoutleaf09,Ethernet54,upscalelab2-spine9,Ethernet54,100000,130,Access,on
fanoutleaf09,Ethernet55,upscalelab2-spine9,Ethernet55,100000,131,Access,on
fanoutleaf09,Ethernet512,str-acs-serv-09,ens25f1,25000,100-131,Trunk,on
fanoutleaf06-800,Ethernet0,upscalelab2-spine6-800,Ethernet0,800000,100,Access,on
fanoutleaf06-800,Ethernet8,upscalelab2-spine6-800,Ethernet8,800000,101,Access,on
fanoutleaf06-800,Ethernet16,upscalelab2-spine6-800,Ethernet16,800000,102,Access,on
fanoutleaf06-800,Ethernet24,upscalelab2-spine6-800,Ethernet24,800000,103,Access,on
fanoutleaf06-800,Ethernet32,upscalelab2-spine6-800,Ethernet32,800000,104,Access,on
fanoutleaf06-800,Ethernet40,upscalelab2-spine6-800,Ethernet40,800000,105,Access,on
fanoutleaf06-800,Ethernet48,upscalelab2-spine6-800,Ethernet48,800000,106,Access,on
fanoutleaf06-800,Ethernet56,upscalelab2-spine6-800,Ethernet56,800000,107,Access,on
fanoutleaf06-800,Ethernet64,upscalelab2-spine6-800,Ethernet64,800000,108,Access,on
fanoutleaf06-800,Ethernet72,upscalelab2-spine6-800,Ethernet72,800000,109,Access,on
fanoutleaf06-800,Ethernet80,upscalelab2-spine6-800,Ethernet80,800000,110,Access,on
fanoutleaf06-800,Ethernet88,upscalelab2-spine6-800,Ethernet88,800000,111,Access,on
fanoutleaf06-800,Ethernet96,upscalelab2-spine6-800,Ethernet96,800000,112,Access,on
fanoutleaf06-800,Ethernet104,upscalelab2-spine6-800,Ethernet104,800000,113,Access,on
fanoutleaf06-800,Ethernet112,upscalelab2-spine6-800,Ethernet112,800000,114,Access,on
fanoutleaf06-800,Ethernet120,upscalelab2-spine6-800,Ethernet120,800000,115,Access,on
fanoutleaf06-800,Ethernet128,upscalelab2-spine6-800,Ethernet128,800000,116,Access,on
fanoutleaf06-800,Ethernet136,upscalelab2-spine6-800,Ethernet136,800000,117,Access,on
fanoutleaf06-800,Ethernet144,upscalelab2-spine6-800,Ethernet144,800000,118,Access,on
fanoutleaf06-800,Ethernet152,upscalelab2-spine6-800,Ethernet152,800000,119,Access,on
fanoutleaf06-800,Ethernet160,upscalelab2-spine6-800,Ethernet160,800000,120,Access,on
fanoutleaf06-800,Ethernet168,upscalelab2-spine6-800,Ethernet168,800000,121,Access,on
fanoutleaf06-800,Ethernet176,upscalelab2-spine6-800,Ethernet176,800000,122,Access,on
fanoutleaf06-800,Ethernet184,upscalelab2-spine6-800,Ethernet184,800000,123,Access,on
fanoutleaf06-800,Ethernet192,upscalelab2-spine6-800,Ethernet192,800000,124,Access,on
fanoutleaf06-800,Ethernet200,upscalelab2-spine6-800,Ethernet200,800000,125,Access,on
fanoutleaf06-800,Ethernet208,upscalelab2-spine6-800,Ethernet208,800000,126,Access,on
fanoutleaf06-800,Ethernet216,upscalelab2-spine6-800,Ethernet216,800000,127,Access,on
fanoutleaf06-800,Ethernet224,upscalelab2-spine6-800,Ethernet224,800000,128,Access,on
fanoutleaf06-800,Ethernet232,upscalelab2-spine6-800,Ethernet232,800000,129,Access,on
fanoutleaf06-800,Ethernet240,upscalelab2-spine6-800,Ethernet240,800000,130,Access,on
fanoutleaf06-800,Ethernet248,upscalelab2-spine6-800,Ethernet248,800000,131,Access,on
fanoutleaf06-800,Ethernet512,str-acs-serv-06,ens25f1,25000,100-131,Trunk,on
