StartDevice,StartPort,EndDevice,EndPort,EndFeed
pdu-cab8-r,17,upscalelab2-spine6,PSU1,
pdu-cab8-r,19,upscalelab2-spine6,PSU3,
pdu-cab8-l,20,fanout_leaf06,PSU1,
pdu-cab8-r,20,fanout_leaf06,PSU3,
pdu-cab8-l,21,fanout_leaf08,PSU1,
pdu-cab8-r,21,fanout_leaf08,PSU3,
pdu-3-upscalelab2,1,upscalelab2-spine7,PSU2,
pdu-3-upscalelab2,5,upscalelab2-spine7,PSU4,
pdu-cab8-r,14,upscalelab2-spine8,PSU2,
pdu-cab8-r,15,upscalelab2-spine8,PSU4,
pdu-3-upscalelab2,3,upscalelab2-spine9,PSU2,
pdu-3-upscalelab2,2,upscalelab2-spine9,PSU4,
pdu-cab8-r,17,upscalelab2-spine6-800,PSU1,
pdu-cab8-r,19,upscalelab2-spine6-800,PSU3,
pdu-cab8-r,17,upscalelab2-spine6-400,PSU1,
pdu-cab8-r,19,upscalelab2-spine6-400,PSU3,
pdu-cab8-l,20,fanout_leaf06-800,PSU1,
pdu-cab8-r,20,fanout_leaf06-800,PSU3,
pdu-cab8-l,20,fanout_leaf06-400,PSU1,
pdu-cab8-r,20,fanout_leaf06-400,PSU3,
pdu-cab8-l,21,fanout_leaf08-800,PSU1,
pdu-cab8-r,21,fanout_leaf08-800,PSU3,
pdu-cab8-l,21,fanout_leaf08-400,PSU1,
pdu-cab8-r,21,fanout_leaf08-400,PSU3,
pdu-3-upscalelab2,1,upscalelab2-spine7-800,PSU2,
pdu-3-upscalelab2,5,upscalelab2-spine7-800,PSU4,
pdu-3-upscalelab2,1,upscalelab2-spine7-400,PSU2,
pdu-3-upscalelab2,5,upscalelab2-spine7-400,PSU4,
pdu-cab8-r,14,upscalelab2-spine8-800,PSU2,
pdu-cab8-r,15,upscalelab2-spine8-800,PSU4,
pdu-cab8-r,14,upscalelab2-spine8-400,PSU2,
pdu-cab8-r,15,upscalelab2-spine8-400,PSU4,
pdu-3-upscalelab2,3,upscalelab2-spine9-800,PSU2,
pdu-3-upscalelab2,2,upscalelab2-spine9-800,PSU4,
pdu-3-upscalelab2,3,upscalelab2-spine9-400,PSU2,
pdu-3-upscalelab2,2,upscalelab2-spine9-400,PSU4,
pdu-cab7-l,8,spine10-800,PSU1,
pdu-cab7-l,8,spine10,PSU1,
