StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
upscale-sys-spine1,Ethernet504,snappi-sonic,Card1/Port1,800000,,Access,
upscale-sys-spine1,Ethernet496,snappi-sonic,Card1/Port5,800000,,Access,
upscale-sys-leaf1,Ethernet504,snappi-sonic,Card1/Port3,800000,,Access,
upscale-sys-spine1,Ethernet0,upscale-sys-leaf1,Ethernet0,800000,,Access,
upscale-sys-spine1,Ethernet8,upscale-sys-leaf1,Ethernet8,800000,,Access,
upscale-sys-spine1,Ethernet16,upscale-sys-leaf1,Ethernet16,800000,,Access,
upscale-sys-spine1,Ethernet24,upscale-sys-leaf1,Ethernet24,800000,,Access,
upscale-sys-spine1,Ethernet32,upscale-sys-leaf1,Ethernet32,800000,,Access,
upscale-sys-spine1,Ethernet40,upscale-sys-leaf1,Ethernet40,800000,,Access,
upscale-sys-spine1,Ethernet48,upscale-sys-leaf1,Ethernet48,800000,,Access,
upscale-sys-spine1,Ethernet56,upscale-sys-leaf1,Ethernet56,800000,,Access,
